词语	拼音	词性	英语	例句
衷心	zhōngxīn	a	Heartfelt	公司全体员工，向前来祝贺的各位来宾以及同仁，表示热烈地欢迎和衷心的感谢。##谨此，我向所有曾经关心支持过我们的各界朋友表示衷心的谢意。
各界	gèjiè	n	All circles	我们相信在政府各主管部门的领导，在社会各界朋友的帮助，经过自身的努力拼搏，公司一定会逐渐成长壮大！##对远道而来专程参加我们庆典活动的各位领导，各位来宾，各界朋友表示热烈欢迎。
谢意	xièyì	n	Thanks	谨此，我向所有曾经关心支持过我们的各界朋友表示衷心的谢意。##谨此，我向所有曾经关心支持过我们的各界朋友表示衷心的谢意！
大力支持	dàlìzhīchí	v	***	谢谢你们的大力支持，谢谢你们的帮助！##在这里，我也郑重地承诺：我们将不负重望、不辱使命，以优质的服务回报社会，回报诸位的大力支持。
恭祝	gōngzhù	v	congratulate and sincerely wish	辞旧迎新之际,前海人寿恭祝全国人民新春快乐、吉祥如意!##湖北省新华书店(集团)有限公司党委书记邱从军率领导班子全体成员恭祝毛丹、杨克武生日快乐!
礼品	lǐpǐn	n	gift	你能否礼品包装吗？##买手机送精美礼品！##移动新春卡，买50送50再送精美礼品。
大功告成	dàgōnggàochéng	i	Be accomplished	签订合同以后，大功告成。##就抱着大功告成，可以松口气，歇一歇的想法。
阖家	héjiā	n	Whole family	当钟声响彻夜空的时候，我们迎来了一个充满希望的2012年，值此佳节之际，谨代表扬州市邗江和全旅游用品厂的全体员工，向所有的新老客户表示衷心的感谢，祝愿大家在2012年里，心想事成，工作顺利，阖家欢乐！
乐意	lèyì	v	Happy	汤姆:谢谢.我们希望你能参加我们的婚礼.杰克:我很乐意.什么日子?##B:很乐意为你效劳。
钦佩	qīnpèi	v	admire	对此，我们表示由衷的钦佩和感谢。##在谈判中要强调你为满足对方利益所做出的努力，有时也要对对方的努力表示钦佩和赞赏。
升职	shēngzhí	v	Be promoted	A:听说你最近升职了，恭喜你！##为什么升职、加薪反而要辞职呢?
携手	xiéshǒu	v	hand in hand	在此，祝在2012年，能够与XXXX共同进步、合作愉快，能够与许许多多的新老朋友携手共进、增进友谊。##在此，祝在2012年，能够与广大客户共同进步、合作愉快，能够与许许多多的新老朋友携手共进、增进友谊。
大展鸿图	dàzhǎnhóngtú	v	Carry out great plan	祝所有的新老朋友们在2012年，大展鸿图！
道喜	dàoxǐ	v	To congratulate	邻居们和孩子们都跑来，小屋里挤得满满的，向他道喜##丁经理呢，我们来给他道喜
高升	gāoshēng	v	High rise 	A:恭喜你高升了。##大卫:嗨.艾伦.听说你被提升为公司助理.艾伦:是啊.我自己也很意外.大卫:一点也不意外.你的工作一直表现得很杰出.恭喜你高升.艾伦:多谢了.希望我明年能做得更好.大卫:你会的.祝你在新的一年里取得更大的进步.
美言	měiyán	v	A	B:是啊，还要多谢你的美言呢。
美誉	měiyù	n	Good reputation	珠海，被美誉为“浪漫之城”、“宜居之城”“花园城市”。##凭借优异的产品质量和品牌美誉度，格力赢得了海南消费者的巨大肯定。##4、进一步加大旅游宣传促销力度，不断提升花亭湖旅游品牌的知名度和美誉度。
荣升	róngshēng	v	be honored by pro motion to a higher post	只有媳妇怀孕，婆婆要依仗了她才能荣升祖母，於是对她开始迁就##高考揭晓了，这个学校破天荒地跃入了全省升学率高的学校行列，可爱的董校长则荣升为教育局副局长，兼县中校长
升迁	shēngqiān	v	promotion	这种积累是可以重复使用的，更是在公司内持续升迁，或取得外界机会的必备条件。##而中才反而会踏踏实实地工作，更珍惜来之不易的升迁机会。
万象更新	wànxiànggēngxīn	i	***	“一元复始山河美，万象更新锦绣春”，新年的脚步临近，即将迈入新的一年。##“一元复始山河美，万象更新锦绣春”，新年的脚步临近，我们扬州和全旅游用品厂也将迈入新的一年。
新婚燕尔	xīnhūnyàněr	i	***	新婚燕尔，正该好好度度蜜月呀！
新年快乐	xīnniánkuàilè	v	***	A:新年快乐，琼！##祝你新年快乐!
耽搁	dānge	v	delay	A:那么，布鲁克斯先生，我再次对耽搁表示道歉，但您下次回来时我们会把所有的事情都办妥的。##休假可以放松员工心情，提高工作效率，弥补因休息而耽搁的工作进度。##网上银行、电话银行、自助终端等电子化服务手段不断推陈出新，大到账户查询、账户转账、异地汇款、银证转账、外汇买卖，小到投诉咨询、代缴公用事业费等鸡毛蒜皮却又耽搁不得的琐事都能一“网”打尽。
禁止	jìnzhǐ	v	prohibit	另一方面，要求经营者在法律规范下遵守商业道德，禁止以不正当手段获取、使用、披露他人商业秘密。##值得注意的是，现在央行已经明令禁止加按揭操作，市场上存在的加按揭则可能处于不合规的状态。##严格禁止利用职务之便或其影响力收受公司客户、供应商的贿赂、回扣等勾结行为，获取不当得利。
陷入	xiànrù	v	fall into	泰德:我知道.但是我当时真是无能为力.丽莎:说起来好听.你当时无能为力.但是就因为你我们输掉了比赛.泰德:是的.我听说了.我很抱歉.但是当时在路上碰上了一桩交通事故.我陷入交通堵塞了.丽莎:但是你究竟为什么不打电话告诉我们呢?##代理人回答说：“这很简单，每一次谈判一陷入僵局，我便问他们，是希望继续和我谈呢，还是希望和卡尔本人谈。##在不分清利益因素的情况下，盲目追求坚持立场和原则，往往使谈判陷入僵局，或者使谈判彻底失败。
遭受	zāoshòu	v	Suffer	没法处理，如果有什么严重得让我们无法再扭转回去的事情发生的话，我们遭受的损失将会是非常巨大的。##所遭受的损失就不可能得到赔偿，因为这一风险不属于出口信用风险范围。##安：老板发现遭受失恋的员工无法圆满完成工作任务。
得体	détǐ	a	Appropriate	面试时要谦虚、礼貌、诚信，穿着也要得体。##最得体的入座方式是从左侧入座。##如果你平时的工作表现还不错，或者是公司的骨干力量，那么在谈话中主管很可能会挽留你，而你必须用得体的语言去应对，想方设法表明你的立场，并坚持自己的初衷。
乞求	qǐqiú	v	Beg	要是有任何人能够帮助我跨过去，那么请他帮忙吧，我恳求他，我乞求他##然而时代却不许他们能够安心作从容的乞求了
委婉	wěiwǎn	a	euphemistic	其实只要用委婉一些的语言，一样可以暗示对方应尽早离去，而且还不至于使其难堪。##应征求大家的意见，适时以委婉的方式提出结束宴席。##因此，采用“两难法”可以在谈判过程中委婉地设置一道令对方无法逾越的障碍，促使对方反思，改变原先的思路。
务必	wùbì	d	must	钟小姐，请在消费前务必出示房卡。##张明收到订单后，请务必仔细核对每项产品的规格和价格。##电子商务必须依托行业内的大企业，转向实际的业务，这才是生存之道。
致歉	zhìqiàn	v	Apologize	他只好轻轻推开门，鞠躬致歉##”他坦率地向我致歉，我觉得他以诚相待，也就打消了顾虑，并在他的邀请下去了他的家
经济损失	jīngjìsǔnshī	n	Economic loss	丁红：其实这种问题还会给厂家造成经济损失。##总之该产品投入市场将给国家个人减轻很多的经济损失和负担。##保证金用于对员工违反公司制度，给公司造成经济损失等经济保证。
烂摊子	làntānzi	n	Awful mess	简:我知道.但是我实在无能为力.视听设备受损.无法在短期内换修.汤姆:孙先生知道这件事会大发雷霆的.这些生意谈得很微妙.如此一来可能就砸了.简:我已经通知各部门会议要取消.也和客户改在星期五.汤姆:我最好亲自打电话给客户道歉.简:我知道你现在不想做这件事.但孙先生下午出去.你得在今天早上告诉他.汤姆:我想我的工作就是收拾烂摊子.谁叫我是他的下属.祝我好运吧!
赔礼道歉	péilǐdàoqiàn	v	Make an apology	一会儿他要来给你赔礼道歉##这个狗三天两天引起人家一大堆意见，我老得向人家赔礼道歉，真是没法办
不和	bùhé	a	***	Tom:为什么不和她道歉呢？##***年7月，在执行***任务时，我们与****公司合作时，出现了不和谐的尴尬局面。
合同规定	hétongguīdìng	v	***	王经理：我相信只要按照合同规定的内容去做，我们的合作一定成功。##当合同规定的义务被执行时，就是合同当事人正在履行合同；##王经理：我们的包装符合合同规定，正常情况下应该没有问题，是不是在运输过程中损坏的?
店主	diànzhǔ	n	Shopkeeper	店主：256。##店主：最低200，不能再降了。
还价	huánjià	v	Counter-offer	你怎么不还价呢？##当然，有些商品是不能讨价还价的，比如食品和饮料，一般都不会降价。
花钱	huāqián	v	Spend money	想到这一点，人们花钱的时候心情会很愉快。##别那么大手大脚地花钱了。
品种	pǐnzhǒng	n	Varieties	那里的电子产品品种多，可选的范围大，一定能找到既便宜又合适的东西。##(二人走过去一一细看，售货员亦跟过去)安德鲁斯：(吃惊地)啊，花色品种这么多!
时尚	shíshàng	n	fashion	时尚的服装，闪光的耳环和项链，让年轻人忘记了辛苦的工作，感受到生活的丰富多彩。##我公司销售时尚，个性和创新的产品。##除此之外，产品的设计时尚现代，深受消费者喜爱。
昂贵	ángguì	a	expensive	不过，也不必送太昂贵的礼物，一般说，不要第一次见面就送礼。##再昂贵的休闲服，也不能随意穿着上餐厅吃饭时穿着得体是欧美人的常识。##对于仿制药生产商来说，这意味着他们现在有权仿制生产那些价格昂贵的专利药，如保栓通（Plavix）、立普能（Lexapro）、思瑞康(Seroquel)等。
光顾	guānggù	v	Patronize	欢迎光顾，欢迎光顾!##其他国家购物者一般一个月仅仅光顾l—2家商场，而在中国，5l％的消费者每个月会光顾3家以上的商场。##XX酒店自XXXX年开业以来，在社会各界的支持和帮助下，在各位顾客的关心和光顾下，已经走过了光辉而曲折的X年。
精打细算	jīngdǎxìsuàn	i	Be very careful in reckoning	生活购物如果长期在中国学习和生活，购物可能就不会总是愉快的了，因此，购物的时候要学会精打细算，少花钱，多办事。##如果要为那些“月光族”画一个简单的肖像，他们一般具备如下特征：花钱人手大脚，没有精打细算的概念，既不爱存钱，也存不了钱。
品位	pǐnwèi	n	grade	您真有品位！##]不断创新营销方式，进一步提高服务质量，致力酒店的连锁发展和品位提升。##这些新奢侈品不一定是传统顶级贵族专属的奢侈品，而是一些相对平价，但知名度高、品质好，更重要的是品牌形象良好，能凸显使用者品位的商品。
压价	yājià	v	Lower prices	如果是卖方先报价，买方压价，则可以采取多种方式：1．揭穿对方，直接指出实质。##二、抬价压价谈判中，没有一方一开价另一方马上就同意的，双方要经过多次的抬价、压价。##压价可以说是对抬价的破解：如果是买方先报价格，可以低于预期进行报价，留有讨价还价的余地；
试试	shìshì	v	***	顾客：还是试试放心。##）售货员：您试试，这双大小合适吗？
充值	chōngzhí	v	Recharge	售货员：办卡二十，充值八十，共一百，正好。##售货员：交二十元押金办卡，首次充值最少二十。
卡号	kǎhào	n	Card number	2.查询积分如有异议，以会员持有的同一卡号收银条为准。##7.顾客退货时，如收银条上有会员卡号，须将会员卡交给工作人员扣减相应点数后退货。
挂失	guàshī	v	Report the loss	挂失前的损失由持卡人自行承担。##会员应持有效证件到上海音乐厅市场部解除挂失、补办新卡。
收款人	shōukuǎnrén	n	Payee	收款人姓名：上海山缘网络科技有限公司收款人地址：上海市巨鹿路758号7号楼204室收款人邮编：200040为保证商品能够及时送到，请务必填写订单号或会员号或注册电话。##收款人全称：上海山缘网络科技有限公司收款人账号：310066179018170038652收款人开户行：交通银行上海徐汇支行为保证商品能够及时送到，请务必填写订单号或会员号或注册电话。
网上支付	wǎngshàngzhīfù	v	Online payment	李梅：我总是担心网上支付的安全问题。##您的银行卡必须先开通网上支付功能。
无效	wúxiào	v	invalid	噢，还有一个问题，此卡无效。##3、购票及进场时须同时出示此卡和本人身份证原件(复印件无效)，无证件此卡优惠无效。
补办	bǔbàn	v	Go through	麦克：我还想问一下，如果卡丢了，怎么补办？##会员应持有效证件到上海音乐厅市场部解除挂失、补办新卡。
持卡人	chíkǎrén	n	Cardholder	挂失前的损失由持卡人自行承担。##6．积点有效规则：持卡人连续365天没有持卡消费的，卡内的积点将会自动转为零，并不再恢复。
兑奖	duìjiǎng	v	cash a prize	5.不同会员卡不合计兑奖。##会员点数若为负数，将不可兑奖。
付款方式	fùkuǎnfāngshì	n	Payment method	在付款方式的选择栏中，选择支付方式。##货到付款货到付款即商品送达时，直接将货款交给送货人员的付款方式。
工本费	gōngběnfèi	n	Fee	4.如顾客遗失会员卡，补卡时需支付5元工本费。##会员卡办理须知会员卡办理须知会员卡办理须知会员卡办理须知1.办理会员卡时，顾客须凭身份证至服务中心领取会员卡登记表，并支付会员卡工本费5元，交于工作人员。
会馆	huìguǎn	n	Hall	如生日是3月8日的女士，3月8日在本会馆消费，只可享受半价优惠或者生日蛋糕。##企业家商务会馆于本月l日开始办理会员卡，购买不同金额的会员卡可享受不同的赠送金额。
银卡	yínkǎ	n	Silver Card	2．银卡以上的会员（含银卡）为正式会员，可享受正式会员待遇。##门票价格：129元／位会员门票：89元／位会员卡种类：钻石卡、金卡、银卡、贵宾卡一、会员权益1．持会员卡消费，与会员同来消费的客人门票享受与持卡人同等待遇。
支付方式	zhīfùfāngshì	n	Payment method	在付款方式的选择栏中，选择支付方式。##注：如您已选择货到付款支付方式，请不要再将款项汇至我公司。
会员俱乐部	huìyuánjùlèbù	n	Member Club	2、会员卡、储值卡挂失如果会员卡不慎遗失、被盗，请立即到上海音乐厅《音乐之友》会员俱乐部或致电会员俱乐部服务热线挂失。##3、会员卡、储值卡补办如会员卡损坏、遗失、被盗，会员补办新卡时，可持本人有效证件到上海音乐厅《音乐之友》会员俱乐部申请办理，并交纳会员卡工本费10元，也可请委托人携带委托人和会员本人有效证件补办会员卡会员补办新卡后，原卡作废，原卡的一切相关信息及帐户将一并转入新卡。
货到付款	huòdàofùkuǎn	v	Cash on Delivery	注：如您已选择货到付款支付方式，请不要再将款项汇至我公司。##上海地区可选择货到付款（详细费用请查看配送方式），当日订货，一般二日内送达。
享用	xiǎngyòng	v	Enjoy	3、购货并享用70元返还优惠：如办卡60天内一次购物满600元以上，即享受扣除办卡时60元的特别优惠，此优惠仅此一次。##如果您年满18周岁，希望享受安利中国各地直营店的舒适购物环境、抵制假冒伪劣，享用货真价实的日用消费品，领取全年安利《新姿》、参与安利各种优惠活动，做一个有智慧的生产消费者和管道建造者，建议您携带本人有效身份证A4纸复印件，到当地安利公司直营店自助办理安利优惠顾客卡，步骤如下：1、获取申请表格：在当地安利公司直营店“收银窗口”用5元购买优惠顾客申请表。
办卡	bànkǎ	v	***	售货员：办卡二十，充值八十，共一百，正好。##4、办卡后请与我保持密切联系，服务您使用产品，并指导您通过分享建立顾客群。
转帐	zhuǎnzhàng	v	transfer	邮政汇款与银行转帐注意事项：.汇款手续费由顾客承担。##银行转账银行转帐即直接至银行或通过网上银行办理转帐业务，款到后发货。
保修期	bǎoxiūqī	n	Defects Liability Period	林玉婉：在保修期内，是免费维修；##超过保修期，要合理收费，就是不能乱收费。
材料	cáiliào	n	Material Science	第三，准备申请材料。##张总，这份材料您看了吗?##并且提供相应的证据材料。
假货	jiǎhuò	n	Fake	现在市场上有一些假货和冒牌产品，消费者购买商品时，一定要特别小心，否则会上当受骗。##朴淑英：你说这些东西不是假货吧?##”2011年，在经历了欺诈和假货的风波后，马云与政府官员见了四五十次面。
确保	quèbǎo	v	ensure	2.请您确保退换货时，商品吊牌及各种包装完整。##确保产品质量，给客户安全；##“我会尽我最大的努力想他们解释，确保他们了解我们在做什么。
收取	shōuqǔ	v	Collect	如报销凭证丢失，则根据VANCL订单运费的收取标准15元报销。##张先生:你收取多少佣金呢?##“为什么可以根据我的声明价值收取费用，却不能根据我的声明价值赔偿呢？
退货	tuìhuò	v	Return goods	王先生：不，我就是要退货。##王先生：不，我不想再修了，我想退货。
修理	xiūlǐ	v	repair	我让我们的技术员检查修理一下吧。##售货员：因为是知名品牌，售后服务您不用担心，一年之内如果有质量问题，厂家免费为您修理，一年以后只收取材料费。##1998年，保监会明文规定保险公司不许为投保人“指定”修理厂，“指定”二字遂被改为“推荐”。
用户	yònghù	n	user	一个不漏的处理用户反映的问题；##对外部用户一站到位的服务，对内部用户一票到底的流程。
保修单	bǎoxiūdān	n	Warranty bill	王先生：当然有，我把发票、保修单、说明书全都带来了，给!##店员：保修单上说得很清楚，一周之内可以退货，现在已经两周了，当然不能退。
寄回	jìhuí	v	Return	4.“退换货发生时，请您选择普通快递将商品寄回给我们。##7.如您购买时索要发票，一经退货请将发票随商品一同寄回，如发票丢失将无法办理退货。
声誉	shēngyù	n	reputation	大家要记住，售后服务开展得好坏，直接影响到公司的形象和声誉。##我们做了这么多年有一定声誉了，不会欺负任何一方。##我们签订了合同就会保证您的物品安全到达，我们公司最注重声誉。
退还	tuìhuán	v	Return	收银员：如果有收据，而且音响以初始包装退还的话，我们会将您的钱给与退还。##担保金如何退还？##如果未中标，我们将如数退还。
维修站	wéixiūzhàn	n	Serving Station	（在某汽车维修站，员工们正在繁忙地工作着。##（电话铃响）喂，这是兴华公司维修站。
消费者	xiāofèizhě	n	Consumer	明明是他们的鞋质量有问题，却赖消费者不会穿鞋。##现在市场上有一些假货和冒牌产品，消费者购买商品时，一定要特别小心，否则会上当受骗。
垫付	diànfù	v	Advance	您首次退换货时，寄回商品垫付的运费VANCL将根据运单实际金额报销，最高报销金额为15元，因暂不支持运费到付业务，请您先垫付运费；##上线对他们讲，您不需要有钱，也不需要有时间，您的钱是垫付的，之所以你没有时间，所以我们让你短时间挣钱。##所有的报价都是天津新港的CIF价格，其中包括百分之五的佣金在内，保险费和运费由卖方垫付。
合格率	hégéshuài	n	Qualified rate	据说从那以后，合格率为百分之一百。##”该经理以说笑话的形式传递了这样一个信息：百分之一百的合格率连军工产品都很难一开始就达到，而洗发水只是一种民用产品。##该公司经理微笑着答道：“美国有一家专门为空降部队伞兵生产降落伞的军工厂，其产品不合格率为万分之一，也就意味着一万名士兵中将有一个会因为降落伞质量上的缺陷而牺牲，这是军方所不能容忍的。
换货	huànhuò	v	Exchange goods	2.请您确保退换货时，商品吊牌及各种包装完整。##换货的商品将免费为您配送。
期内	qīnèi	n	During the period of	林玉婉：在保修期内，是免费维修；##王先生：可在退货期内，你们的电动车已经坏了，我原以为可以修好的，没想到修了之后还出问题。
抢修	qiǎngxiū	v	Rush to repair	对，马上去抢修。##赵雨生：是位小姐，她买的不是我们的车，可知道我们公司的电话，要求我们去抢修。
商品包装	shāngpǐnbāozhuāng	n	Commodity packaging	首先要注意收集顾客对商品，服务的意见及对发生故障的商品的意见和建议．维修服务点的负责人应经访问曾维修过商品的客户．倘遇到顾客因商品发生故障而遭受重大损失时，服务点的负责人或企业的高层管理人员应该亲自登门到权并且慰问．此外，还可以派出专人，经常去调查克服对现有产品的不满意之处及其要求和希望，了解消费者的心态和市场需求的信息．要根据顾客的要求，对商品进行包装，可以有单独商品包装，组合商品包装，散装商品小包装，礼品包装等多种方式，与顾客保持经常性的联系．我们要以我们良好的服务来赢得客户们的认可让客户信赖我们。##（二）商品包装或商品外表有残损的；
质量抽查	zhìliàngchōuchá	v	Quality inspection	天津市第四次全国经济普查领导小组副组长、天津市统计局局长武军定带队赴河北区调研指导四经普事后质量抽查工作。##第四次全国经济普查现场登记工作顺利结束,国务院第四次全国经济普查领导小组办公室将统一组织开展普查事后质量抽查工作。
赔偿损失	péichángsǔnshī	v	***	张小姐：你应该让他们赔偿损失。##你是受害者，他们应该向你赔偿损失。
质量保证	zhìliàngbǎozhèng	n	***	海利：好的，这种音响有哪种质量保证？##海利：好的，那么如何得到生产厂家的质量保证呢？
全场	quánchǎng	n	Full-court	中秋节期间维纳斯婚纱摄影公馆倾情巨献“中秋团圆，合家欢喜迎国庆送豪礼”即日起凡进店预约拍摄的顾客，均可享受全场套系8折优惠再享8大豪礼.每日进店前两对再次优惠50元，另凭活动宣传页来店内预约拍摄，可立减现金50元。##2、享受全场满39元免运费服务；##相对于今年淘宝“双十一”活动不再强调商品折扣，此次拍拍“疯抢节”则强势打出价格牌，全场实行5折封顶。
抽奖	chōujiǎng	v	Luck draw	活动期间，凡进店者均有礼品相送，购买一千元以上者即可参与抽奖。##进店凡是购东西者必送月饼一提，另举办有抽奖活动，凡购买666元以上的商品，便有抽奖的权利！
大型	dàxíng	a	large	我公司是一家汇集众多一线品牌、专业大型的装饰超市。##时代商场位于北京市中心，是北京著名的大型百货公司。
免费试用	miǎnfèishìyòng	v	Free trial	据IT之家网友反馈,在试用免费加速之后,界面上出现了延长加速时间的服务提醒,售价是限时优惠3元/5分钟,原价是6元/5分钟。##针对这一现象,记者进行了调查,发现商场免费试用化妆品早已司空见惯,同一试用品多人试用,极易传播疾病,而且出现过敏等皮肤问题后,很难维权。
特卖	tèmài	v	Sale	活动三：超市特卖会活动期间，超市推出多项特惠商品，超低价销售。##感恩大回馈燃情12月1、疯狂时段天天有2、超市购物新鲜派加1元多一件3、立丹暖万家冬季“羊毛衫、内衣、床品”大展销4、耶诞礼品特卖会5、耶诞“奇遇”来店惊喜6、“耶诞欢乐园”激情圣诞夜活动时间：12月6日（六）——12月25日活动地点：商场一楼大厅
原价	yuánjià	n	Original price	原价1138元的LG空调现价880元，共售25台；##原价4970元的美的空调现价4670元，共售35台；
购置	gòuzhì	v	Purchase	刘总：是啊，这些是我们去年刚购置的，是目前世界上最先进的生产设备。##二是成立物流公司，购置50多辆汽车进行苗木的长途运输。##由于有资格购买经济适用房的都是偏低收入的市民，不可能购置家用汽车，多数人又都在市区上班，上下班要跑这么远的路，不仅多花交通费用，且极不方便。
回馈	huíkui4	v	feedback	远东百货迎来了“六周年”店庆，为了感谢顾客对我们的支持，在11月9日-11月25日特别精心制作促销力度堪称全年之“最”的活动，回馈一直以来支持我们的广大顾客。##感恩大回馈燃情12月1、疯狂时段天天有2、超市购物新鲜派加1元多一件3、立丹暖万家冬季“羊毛衫、内衣、床品”大展销4、耶诞礼品特卖会5、耶诞“奇遇”来店惊喜6、“耶诞欢乐园”激情圣诞夜活动时间：12月6日（六）——12月25日活动地点：商场一楼大厅
奖券	Jiǎngquàn	n	Lottery	本次活动为现场抽奖，届时由顾客嘉宾在奖箱内抽出奖券，当场公布，中奖号码公布三遍后无人认领，即视为弃奖。##“乐”力夏日激情相约活动一：举行盛宴观赏礼活动期间，购物满50元，可到一楼总服务台领取奖券一张，满100元两张，依此类推，单张笑屁限领5张。
竭诚	jiéchéng	d	wholeheartedly	我们将以最优质的服务，竭诚为您服务。##竭诚为顾客在选择，购买，使用，售后等方面提供周到的服务。
店庆	diànqìng	n	Anniversary	商场从l986年成立到现在已有20多年历史，为了迎接本次店庆，本商场将在本月举办大型促销活动。##10月1日是光明家电商场开业5周年店庆日，当日部分家电特价销售；
返券卡	fǎnquànkǎ	n	Fanquan card	昨日,市民王先生拿着180元返券卡到一家商场购物时,被营业员告知,返券卡过期,余额自动归零。##为抵制商场内倒券的“黄牛党”,庄胜崇光(SOGO)百货商场(后简称庄胜百货)冻结了部分返券卡,由此引发了“部分黄牛党大闹SOGO”事件。
现价	xiànjià	n	Present price	原价1138元的LG空调现价880元，共售25台；##原价4970元的美的空调现价4670元，共售35台；
限时折扣	xiànshízhékòu	n	Discount	《猎天使魔女》在很多玩家的steam库存中受到欢迎,如果还没有入手,那么现在的限时折扣是一个好机会,steam的25元折扣也是历史低价了。##去年11月,Adobe的PhotoshopElements2019软件现已在Windows10的MicrosoftStore商店上架,目前这款软件正在开启限时折扣活动,原价709元,现价494元。
新老客户	xīnlǎokèhù	n	New and old customers	国美手机广场还为新老客户提供免费下载歌曲、电影、图铃等。##本商场拥有相当规模的新老客户群体，在市场竞争激烈的今天，苏宁家电将一如既往的坚持质量第一，服务第一，薄利多销的经营理念。
赠品促销	zèngpǐncùxiāo	v	Gift promotion	绝大多数的门店都做过赠品促销的尝试,但是真正有效果的却不多。##我想问一下,促销赠品存在质量问题,商家是否应承担责任?
滞销	zhìxiāo	v	Unsalable	因为如果没有选些滞销的商品做比较，那些畅销商品的销售量可能就会降下来。##时间长了，老板就知道哪些品牌的商品畅销，哪些商品滞销，但是滞销的商品他还是少量进一些。##农产品滞销不必发愁，只需通过生物农产品电商交易平台展示，全国各地经销商、农产品经纪人就会帮助农户解决烦恼。
均可	jūnkě	vu	***	活动期间凡在我商场购物满38元的顾客朋友，均可凭购物电脑小票到商场服务台免费领取面值8元的“IGA亲情电话卡”一张，每单限送两张，使用“IGA亲情电话卡”可免费拨打长途电话，每天限量赠送、送完即止。##中秋节期间维纳斯婚纱摄影公馆倾情巨献“中秋团圆，合家欢喜迎国庆送豪礼”即日起凡进店预约拍摄的顾客，均可享受全场套系8折优惠再享8大豪礼.每日进店前两对再次优惠50元，另凭活动宣传页来店内预约拍摄，可立减现金50元。
倾情	qīngqíng	v	***	至此元旦来临之际，联手雷士照明、好兆头橱柜、威尔斯瓷砖、圣保罗地板、美涂士漆、吉美卫浴等众多厂家倾情巨献。##中秋节期间维纳斯婚纱摄影公馆倾情巨献“中秋团圆，合家欢喜迎国庆送豪礼”即日起凡进店预约拍摄的顾客，均可享受全场套系8折优惠再享8大豪礼.每日进店前两对再次优惠50元，另凭活动宣传页来店内预约拍摄，可立减现金50元。
单人床	dānrénchuáng	n	Single bed	客人:你好，我想订个带两张单人床的房间，从三月十六号住到十八号。##A:是大的套房，有一张特大的双人床和两张单人床，我们还可以加活动床铺。
房费	fángfèi	n	The room rate	A:请问房费多少？##B:现行房费是50美元一天。
房价	fángjià	n	housing price	房价分别是700、1100、1200。##一天的房价是多少？
旅店	lǚdiàn	n	Inn	接线员：你好，北京旅店，我能为你做点什么吗？
入住	rùzhù	v	Check	顾客：我想入住酒店。##什么时候入住及退房？
套间	tàojiān	n	Suite	男：一个商务套间。##服务员：查到了，他给您订了一个商务套间，从10号到17号，对吗？##宾馆有标准间、单人间、豪华套间、商务套间等各种客房600多间，房间内可以免费上网。
标准房	biāozhǔnfáng	n	Standard room	A:我们酒店有标准房，高级房，豪华房，行政房。
查看	chákàn	v	See	A:请等一下，让我查查看还有没有房……对不起，我们只剩下两间单人房，但在不同的层数，这可以吗？##(1)预订员应根据客人的预订日期，查看电脑预订情况而判断是否接受客人的指定性预订。
接线员	jiēxiànyuán	n	operator	接线员：我得知道你们有多少人。##接线员：不好意思，但是我能知道你们要呆多久吗？
楼层	lóucéng	n	floor	而且我们酒店还设有不吸烟楼层及连通房。##客人指定房型、楼层、房号事前提示：一般饭店通常不接受指定房号的预订，但会答应客人尽量按客人要求的房号安排;
修改	xiūgǎi	v	modify	(4)更改预订单，并将已修改的预订单发送到有关部门与班组。##还有什么要修改的吗?##我只有一个小问题，需要修改。
查找	cházhǎo	v	lookup	已预订客人要求增加房间的数量(1)预订员首先应问清客人的有关信息，如客人的姓名、单位或抵达、离店日期等，根据客人所提供的资料查找客人的预订单，核对无误后再行操作。##如果你没有事做，可以看看本专业的相关书籍，查找一下最新的专业资料等等。##在被申请人下落不明的情况下，申请人应主动查找其下落，并向仲裁委员会提交被申请人的确切住所，否则将影响仲裁程序进行；
房型	fángxíng	n	layout of a house or an apartment	B:您想预订哪种房型？##客人指定房型、楼层、房号事前提示：一般饭店通常不接受指定房号的预订，但会答应客人尽量按客人要求的房号安排;
更改	gēnggǎi	v	change	客人更改预订日期时无房(1)首先向客人道歉，并简单说明原因，以尽量得到客人的谅解。##(4)取消或更改原来的预订单，及时发送到各相关部门或班组。
效劳	xiàoláo	v	Serve	我能效劳吗？##服务员：希尔顿饭店，我能为您效劳吗？
预留	yùliú	v	Reserve	(2)若有空房，则应立即办理预订手续，把需要的房号预留起来并输人电脑;##政府在推出计划时已承诺，会从收益中预留款项，资助扶贫工作。##8、所申请签注的有效期不能超过往来港澳通行证有效期，同时要预留20天的办证时间；
换房	huànfáng	v	***	(3)最后向客人说明如果出现不能满足要求的情况，则请客人谅解并作换房处理。
空房	kōngfáng	n	***	服务员：好的，我们正好还有一间空房。##女：我查一下……没问题，我们有空房。
复印	fùyìn	v	To copy	我们需要复印1份保留。##我没有带确认函来，我只带了一张复印的行程表。
旅行支票	lǚxíngzhīpiào	n	Traveler's check	顾客：旅行支票给你。##你们收旅行支票吗？
刷卡	shuākǎ	v	Pay by card	G：刷卡。##A:好的，让我为您刷卡吧。
餐券	cānquàn	n	Voucher	这是你们的房间钥匙、登记表及早餐券。
